"AnnaBGI" "H09" "H10" "H11" "H12" "H13" "H14" "H15" "H16" "H17" "H18" "H19" "H1" "H20" "H21" "H22" "H23" "H24" "H25" "H26" "H27" "H28" "H29" "H2" "H30" "H31" "H33" "H34" "H35" "H36" "H38" "H39" "H3" "H40" "H41" "H42" "H43" "H44" "H45" "H46" "H47" "H48" "H4" "H5" "H6" "H7" "H8" "SwiftBGI"
"R000581" 0.0797706615764619 0.0843369033580981 0.075245743816503 0.075245743816503 0.075245743816503 0.075014688981766 0.0797706615764619 0.0843369033580981 0.0795192239529489 0.075245743816503 0.0838193330564571 0.0707614088251228 0.0843369033580981 0.075245743816503 0.0886518979415955 0.075245743816503 0.0838193330564571 0.0889452309105601 0.0797706615764619 0.0707614088251228 0.0886518979415955 0.0707614088251228 0.0707614088251228 0.0935964272417169 0.075245743816503 0.0663169351164997 0.075014688981766 0.0840647098035749 0.0932815606479939 0.0663169351164997 0.0663169351164997 0.0707614088251228 0.0843369033580981 0.203110239297741 0.0707614088251228 0.075245743816503 0.0707614088251228 0.075245743816503 0.0707614088251228 0.075245743816503 0.075245743816503 0.0663169351164997 0.10176041798523 0.075245743816503 0.0755030733269972 0.0840647098035749 0.0797706615764619 0
"R000599" 0.122722067836351 0.122763020232687 0.145323644381944 0.130281958914957 0.130184892944689 0.130184892944689 0.14545325487473 0.130184892944689 0.145323644381944 0.14545325487473 0.161202588404416 0.130184892944689 0.14545325487473 0.14545325487473 0.145323644381944 0.122722067836351 0.177080347243107 0.153075737649927 0.130184892944689 0.145323644381944 0.15297261868405 0.130184892944689 0.122763020232687 0.145323644381944 0.122722067836351 0.130281958914957 0.137915694980351 0.168950086807217 0.160949916133996 0.122763020232687 0.122763020232687 0.130184892944689 0.184983548066515 0.122763020232687 0.122763020232687 0.122763020232687 0.122763020232687 0.130281958914957 0.13776079545499 0.122763020232687 0.122763020232687 0.130184892944689 0.122722067836351 0.122722067836351 0.13776079545499 0.177080347243107 0.168584097099017 0
"R000605" 0.046863248643771 0.0524465537871967 0.0690106389637375 0.0578829784269167 0.0523427555386308 0.0550041208499005 0.0495954958798104 0.0523427555386308 0.0605597335624358 0.0550041208499005 0.0578829784269167 0.0550041208499005 0.0606762817812366 0.0577742110377082 0.0469519929993991 0.046863248643771 0.0660559946722443 0.0470509446508714 0.0495954958798104 0.0549134722775267 0.0576759102435117 0.0549134722775267 0.0524465537871967 0.0578829784269167 0.046863248643771 0.049691725881712 0.0495954958798104 0.063620203133195 0.0524465537871967 0.049691725881712 0.049691725881712 0.0551051935046157 0.0770546416439927 0.0550041208499005 0.0551051935046157 0.0495954958798104 0.0523427555386308 0.049691725881712 0.0469519929993991 0.0495954958798104 0.0577742110377082 0.049691725881712 0.046863248643771 0.0495095600621029 0.0577742110377082 0.0604536951658127 0.0551051935046157 0
"R000607" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0
"R000612" 0.0583831575634566 0.0583831575634566 0.0582451823133781 0.051557112979293 0.0549584866406692 0.0583831575634566 0.0618314470929868 0.0653036832693923 0.0549584866406692 0.0653036832693923 0.0686261780375928 0.0618314470929868 0.051557112979293 0.0549584866406692 0.0616816219572591 0.0583831575634566 0.05812308585865 0.0514423562854888 0.0616816219572591 0.0618314470929868 0.0686261780375928 0.0583831575634566 0.0583831575634566 0.0582451823133781 0.0583831575634566 0.0583831575634566 0.0686261780375928 0.0616816219572591 0.065141843379546 0.0618314470929868 0.0583831575634566 0.0616816219572591 0.051557112979293 0.0583831575634566 0.0583831575634566 0.0583831575634566 0.0618314470929868 0.0481787217478531 0.0618314470929868 0.0549584866406692 0.0549584866406692 0.0583831575634566 0.0616816219572591 0.0583831575634566 0.0649960463109675 0.0582451823133781 0.0549584866406692 0
"R000623" 0.266392467990625 0.264140383336265 0.282324205421703 0.248533426689585 0.248533426689585 0.248533426689585 0.248533426689585 0.248533426689585 0.264140383336265 0.248533426689585 0.231290338654001 0.266392467990625 0.24659472343063 0.301194369413126 0.301194369413126 0.248533426689585 0.231290338654001 0.231290338654001 0.248533426689585 0.248533426689585 0.248533426689585 0.266392467990625 0.264140383336265 0.24659472343063 0.248533426689585 0.264140383336265 0.248533426689585 0.231290338654001 0.231290338654001 0.264140383336265 0.280094527114373 0.264140383336265 0.296412439559486 0.282324205421703 0.280094527114373 0.264140383336265 0.264140383336265 0.264140383336265 0.264140383336265 0.282324205421703 0.282324205421703 0.280094527114373 0.248533426689585 0.33489296012755 0.260682957568413 0.231290338654001 0.248533426689585 0
"R000626" 0.139456868934397 0.121085959894968 0.114868224152154 0.139456868934397 0.133167477830967 0.154723889757646 0.1488399740678 0.139285543218776 0.114868224152154 0.14545637158721 0.11778164849759 0.145826381823112 0.105979070596719 0.108862145928152 0.155312556363818 0.130052202955649 0.11778164849759 0.11778164849759 0.164496187794131 0.148651270636595 0.139456868934397 0.139641092427869 0.149256773391813 0.111967166120077 0.136302284337764 0.149041826988257 0.120947326392059 0.133015868592409 0.123879285044499 0.146030955751068 0.142825816570609 0.130206850275677 0.130052202955649 0.127101250229357 0.124014820675817 0.136140878764995 0.130052202955649 0.136476524902045 0.152503538047087 0.133331860448263 0.136476524902045 0.152503538047087 0.136302284337764 0.14545637158721 0.111856166850463 0.11778164849759 0.108862145928152 0
"R000645" 0.0553928635932742 0.0496593341456613 0.0554397453461992 0.0582566765577847 0.0525026821355245 0.0582566765577847 0.0700219252628818 0.0582566765577847 0.0525411865040363 0.0611721367131813 0.0440084526528582 0.0582566765577847 0.0439449862338499 0.0496593341456613 0.0582998485259841 0.0553928635932742 0.0383265733277007 0.0468279612545248 0.0641046964393804 0.0611721367131813 0.0582998485259841 0.0496593341456613 0.0525026821355245 0.064165018418729 0.0553928635932742 0.0611721367131813 0.0525026821355245 0.0525411865040363 0.0468279612545248 0.0525026821355245 0.0525026821355245 0.0467939967911687 0.0496291110077405 0.0467939967911687 0.0525026821355245 0.0467939967911687 0.0525026821355245 0.0525026821355245 0.0525026821355245 0.0467939967911687 0.0525026821355245 0.0525026821355245 0.0553928635932742 0.0525026821355245 0.0582566765577847 0.0383265733277007 0.0439708106228055 0
"R000652" 0.101851155869296 0.101851155869296 0.101851155869296 0.101851155869296 0.101851155869296 0.101851155869296 0.0839123824674374 0.101851155869296 0.0839921145682567 0.101851155869296 0.120371791709471 0.120371791709471 0.0839921145682567 0.0839921145682567 0.0839921145682567 0.139604932123369 0.158481820250405 0.102102221038045 0.0839123824674374 0.101851155869296 0.120371791709471 0.101851155869296 0.102102221038045 0.0839921145682567 0.120371791709471 0.101851155869296 0.101851155869296 0.0663667225618023 0.101851155869296 0.101851155869296 0.101851155869296 0.101851155869296 0.0839123824674374 0.101851155869296 0.101851155869296 0.120371791709471 0.101851155869296 0.120371791709471 0.101851155869296 0.120371791709471 0.120371791709471 0.120371791709471 0.101851155869296 0.101851155869296 0.139604932123369 0.139156207114905 0.0839921145682567 0
"R000672" 0.100384967266914 0.112655521724972 0.106973458955583 0.106482603813823 0.112449742201281 0.118905603107088 0.12523480154305 0.131319906192704 0.119552738773661 0.118905603107088 0.12495039330399 0.195750877420452 0.10729540868137 0.119552738773661 0.131049017084117 0.100384967266914 0.112913622644385 0.100567316349199 0.118905603107088 0.106482603813823 0.106482603813823 0.112449742201281 0.209503433228345 0.101084148682092 0.100384967266914 0.118905603107088 0.0943607980088264 0.0947029044975246 0.106702362645106 0.112655521724972 0.112655521724972 0.118905603107088 0.113223540337699 0.118905603107088 0.118905603107088 0.112449742201281 0.195750877420452 0.12495039330399 0.106482603813823 0.2098363159038 0.11229681935489 0.12495039330399 0.100384967266914 0.100384967266914 0.0886787352394373 0.118905603107088 0.100567316349199 0
"R000674" 0.0367088610829112 0.0367088610829112 0.04953007638958 0.0367088610829112 0.04953007638958 0.04953007638958 0.0367088610829112 0.0367088610829112 0.04953007638958 0.0367088610829112 0.0370539860768609 0.0367088610829112 0.04953007638958 0.04953007638958 0.0367088610829112 0.0367088610829112 0.0500417292784913 0.0370539860768609 0.0367088610829112 0.0367088610829112 0.0367088610829112 0.0367088610829112 0.04953007638958 0.04953007638958 0.0367088610829112 0.0367088610829112 0.0370539860768609 0.0370539860768609 0.0370539860768609 0.0367088610829112 0.0367088610829112 0.0367088610829112 0.0626887305482667 0.0367088610829112 0.0367088610829112 0.0367088610829112 0.04953007638958 0.0367088610829112 0.0367088610829112 0.0367088610829112 0.0367088610829112 0.0367088610829112 0.0367088610829112 0.0367088610829112 0.0500417292784913 0.04953007638958 0.0626887305482667 0
"R000685" 0.156605487861873 0.14596678863823 0.14596678863823 0.188622904612125 0.14596678863823 0.135549745186809 0.14596678863823 0.14596678863823 0.14596678863823 0.135549745186809 0.116009689835828 0.14596678863823 0.135549745186809 0.14596678863823 0.135549745186809 0.156605487861873 0.126111043494588 0.136420687095956 0.155643920716226 0.135549745186809 0.177386476686095 0.125345309371206 0.14596678863823 0.175407007447507 0.156605487861873 0.135549745186809 0.116009689835828 0.136420687095956 0.366234540652946 0.135549745186809 0.14596678863823 0.125345309371206 0.206979771750829 0.125345309371206 0.135549745186809 0.134807572515942 0.125345309371206 0.156605487861873 0.135549745186809 0.134807572515942 0.14596678863823 0.135549745186809 0.14596678863823 0.14596678863823 0.14596678863823 0.126111043494588 0.136420687095956 0
"R000701" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0
"R000706" 0.060363095511574 0.0641225117185877 0.0639602798745989 0.060363095511574 0.060363095511574 0.060363095511574 0.060363095511574 0.0566317349107793 0.0639602798745989 0.060363095511574 0.0566317349107793 0.0566317349107793 0.0676546445161441 0.0639602798745989 0.0566317349107793 0.0641225117185877 0.0566317349107793 0.0678049955081939 0.0641225117185877 0.0566317349107793 0.0641225117185877 0.060363095511574 0.0602860568259236 0.0677196960816126 0.060363095511574 0.0640313926905024 0.0640313926905024 0.0752305470264453 0.0639602798745989 0.0640313926905024 0.0602860568259236 0.0566317349107793 0.0864699328008225 0.0641225117185877 0.060363095511574 0.060363095511574 0.060363095511574 0.060363095511574 0.0640313926905024 0.0566317349107793 0.0640313926905024 0.0602860568259236 0.060363095511574 0.060363095511574 0.0565685675821645 0.0715075929858414 0.0713693959369008 0
"R000707" 0.0648777988712712 0.0622392703208492 0.0701969979737991 0.0622392703208492 0.0622392703208492 0.0622392703208492 0.0648777988712712 0.0622392703208492 0.0701969979737991 0.0622392703208492 0.0701969979737991 0.0649554175792998 0.0887056718858917 0.0701969979737991 0.0622392703208492 0.0622392703208492 0.0674554384129457 0.0648777988712712 0.0648777988712712 0.0648777988712712 0.0596783237399547 0.0622392703208492 0.0782834275965995 0.0648099295957379 0.0622392703208492 0.0648777988712712 0.0648777988712712 0.0648777988712712 0.0648777988712712 0.0622392703208492 0.0622392703208492 0.0782834275965995 0.0937865605258785 0.0674554384129457 0.0622392703208492 0.0621783445736006 0.0969931544329981 0.0648099295957379 0.0648099295957379 0.0622392703208492 0.104967990416597 0.0596783237399547 0.0648777988712712 0.0648777988712712 0.0648099295957379 0.0700429089494931 0.0596783237399547 0
"R000751" 0.0999545552005342 0.106711414783896 0.113457780036462 0.0999545552005342 0.113457780036462 0.0999545552005342 0.106711414783896 0.106711414783896 0.106711414783896 0.0999545552005342 0.106654954008573 0.106711414783896 0.113560836962977 0.106654954008573 0.100032050146829 0.0999545552005342 0.106654954008573 0.0932877897658016 0.106711414783896 0.106711414783896 0.0999545552005342 0.0933205399807581 0.106711414783896 0.0999545552005342 0.106654954008573 0.106711414783896 0.0932877897658016 0.0999545552005342 0.106711414783896 0.106711414783896 0.106711414783896 0.120272649472024 0.106654954008573 0.113457780036462 0.113457780036462 0.127217205552357 0.113457780036462 0.106711414783896 0.113560836962977 0.113457780036462 0.12050539304331 0.113560836962977 0.0999545552005342 0.0999545552005342 0.12035444110263 0.0999545552005342 0.223153612810838 0
