"AnnaBGI" "H09" "H10" "H11" "H12" "H13" "H14" "H15" "H16" "H17" "H18" "H19" "H1" "H20" "H21" "H22" "H23" "H24" "H25" "H26" "H27" "H28" "H29" "H2" "H30" "H31" "H33" "H34" "H35" "H36" "H38" "H39" "H3" "H40" "H41" "H42" "H43" "H44" "H45" "H46" "H47" "H48" "H4" "H5" "H6" "H7" "H8" "SwiftBGI"
"R000581" 0 0.0200026673068496 0.0282333058338856 0.0119053243468593 0.0119053243468593 0.0118698277558163 0.0159376042652245 0.0200026673068496 0.0322808250159439 0.0119053243468593 0.0321859573405461 0.0079053030133211 0.0323999966134577 0.0241010509089389 0.0322808250159439 0.00393702821545294 0.04036879874607 0.0323999966134577 0.0159376042652245 0.0079053030133211 0.0240161740403386 0.0119053243468593 0.0241010509089389 0.0323999966134577 0.00393702821545294 0.0200026673068496 0.0118698277558163 0.0240161740403386 0.0322808250159439 0.0200026673068496 0.0200026673068496 0.0079053030133211 0.0494229173183163 0.142468899094591 0.0079053030133211 0.0119053243468593 0.0159376042652245 0.0200026673068496 0.0159376042652245 0.0119053243468593 0.0200026673068496 0.0200026673068496 0.0320698530415511 0.00393702821545294 0.0322808250159439 0.0404490979169054 0.0282333058338856 0.0797706615764619
"R000599" 0 0.0126886967033281 0.0191403991212821 0.0191403991212821 0.00632919843596173 0.00632919843596173 0.019233140413898 0.019233140413898 0.0191403991212821 0.019233140413898 0.0524550012250748 0.0127395426504924 0.0388487194626324 0.0321819540278998 0.0321284108939266 0 0.0866735047553779 0.0387510242689369 0.0191093139757387 0.0256764399049585 0.0256029117391442 0.0191093139757387 0.0191403991212821 0.0191403991212821 0 0.0256764399049585 0.0522653604628965 0.0527100505400963 0.0522653604628965 0.0191403991212821 0.0191403991212821 0.0191093139757387 0.108329604880982 0.0126886967033281 0.0321284108939266 0.0126886967033281 0.0126886967033281 0.0256764399049585 0.0321819540278998 0.0126886967033281 0.0126886967033281 0.0256029117391442 0 0 0.0256029117391442 0.0866735047553779 0.0656914052058618 0.122722067836351
"R000605" 0 0.0101060726003687 0.0255583553967946 0.0101269284522488 0.00503782599437079 0.00756153784663305 0.00251256810133652 0.00503782599437079 0.0177659898884456 0.00756153784663305 0.015209949632894 0.00756153784663305 0.0229225055271641 0.0151952901382362 0.0101060726003687 0 0.0229225055271641 0.0100948155074865 0.00251256810133652 0.00755673899155622 0.0100948155074865 0.00755673899155622 0.0101060726003687 0.0203318261561652 0 0.00756153784663305 0.017754500861833 0.0204157162017366 0.0101060726003687 0.00756153784663305 0.00756153784663305 0.0126458414494342 0.0359631312856576 0.0126377398048511 0.0126458414494342 0.00755673899155622 0.0100948155074865 0.00756153784663305 0.0050298868683597 0.00755673899155622 0.0151952901382362 0.00756153784663305 0 0.00251098985338108 0.0203499749676668 0.017754500861833 0.0126458414494342 0.046863248643771
"R000607" 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"R000612" 0 0.0062112599992786 0.0124688635195046 0.0062112599992786 0.00309598512396055 0.0062112599992786 0.00309598512396055 0.0062112599992786 0.00934606650607626 0.0062112599992786 0.0156334310453284 0.00309598512396055 0.0125006511027086 0.00934606650607626 0.0093241990657227 0 0.0187808949416774 0.0252491120092722 0.00309358884681671 0.00934606650607626 0.0156334310453284 0.0062112599992786 0.0062112599992786 0.0124688635195046 0 0.0062112599992786 0.0252491120092722 0.0252491120092722 0.0124688635195046 0.00309598512396055 0.0062112599992786 0.0093241990657227 0.0187808949416774 0.0062112599992786 0.0062112599992786 0.0062112599992786 0.015675264942038 0.00934606650607626 0.00934606650607626 0.00309598512396055 0.00309598512396055 0.0062112599992786 0.00309358884681671 0 0.0124516965057156 0.0124688635195046 0.015675264942038 0.0583831575634566
"R000623" 0 0.0233598754467018 0.0724643869780323 0.0116284310821336 0.0116284310821336 0.0116284310821336 0.0116284310821336 0.0235337554289929 0.0598054829858873 0.0116284310821336 0.0474963597055689 0.0235337554289929 0.0724643869780323 0.0987862537207432 0.0477549575314178 0.0116284310821336 0.0474963597055689 0.0474963597055689 0.0116284310821336 0.0116284310821336 0.0116284310821336 0.0235337554289929 0.0233598754467018 0.0724643869780323 0.0116284310821336 0.0233598754467018 0.0599970108082776 0.0474963597055689 0.0474963597055689 0.0233598754467018 0.0353006331434894 0.0233598754467018 0.139232112502837 0.035408651236232 0.0353006331434894 0.0233598754467018 0.0233598754467018 0.0734016047251931 0.0233598754467018 0.035408651236232 0.035408651236232 0.0353006331434894 0.0116284310821336 0.0724643869780323 0.139232112502837 0.0474963597055689 0.0723451996406716 0.266392467990625
"R000626" 0 0.0205348941899572 0.0364229423562198 0.00763373606539421 0.00507618573200898 0.0204880472411786 0.0153512639724849 0.012760584601486 0.0364229423562198 0.012742528681608 0.023159572133029 0.0102044358156036 0.0337982713566715 0.0364229423562198 0.0310609606747319 0.00763373606539421 0.0337982713566715 0.023159572133029 0.0336054485989814 0.0153265137608294 0.00507618573200898 0.0101832593071538 0.0179554365260539 0.0337982713566715 0.00253165097827338 0.0257981006834509 0.0311837212944692 0.0418430496326522 0.023159572133029 0.0179554365260539 0.0205732435530265 0.0179554365260539 0.039057820715907 0.0153512639724849 0.0179554365260539 0.0231242860965869 0.0205348941899572 0.00761915112369403 0.0232048285751638 0.0205732435530265 0.012760584601486 0.0232048285751638 0.00253165097827338 0.0101718289313987 0.0445752968686916 0.0284506267982975 0.0364229423562198 0.139456868934397
"R000645" 0 0.0134832478661711 0.0216732525547907 0.00267201585958828 0.00267380316329762 0.0134832478661711 0.0189778086539688 0.0134832478661711 0.018918424649306 0.0162229807484839 0.018918424649306 0.00804841174771924 0.0216732525547907 0.0216732525547907 0.0161953270347036 0 0.0161786917669932 0.0134630797986642 0.0189778086539688 0.0162229807484839 0.00267380316329762 0.00535298743028094 0.0134630797986642 0.041318096362952 0 0.0216732525547907 0.0189053806729199 0.0216732525547907 0.0107456818056858 0.0134630797986642 0.0134630797986642 0.0107584454823888 0.0216526403317402 0.0107584454823888 0.0161953270347036 0.0134832478661711 0.0161953270347036 0.0134630797986642 0.0134630797986642 0.0107584454823888 0.0134630797986642 0.0134630797986642 0 0.00267380316329762 0.0299536878818351 0.018918424649306 0.0189425866935239 0.0553928635932742
"R000652" 0 0.0500417292784913 0.0664410498999446 0 0 0 0.0160653862277758 0 0.0843000912009842 0 0.0500417292784913 0.0327986412429066 0.0843000912009842 0.0843000912009842 0.0327986412429066 0.0327986412429066 0.0843000912009842 0.049411073477112 0.0160653862277758 0 0.0161304311091107 0.0161304311091107 0.049411073477112 0.0843000912009842 0.0161304311091107 0.0500417292784913 0.0327986412429066 0.0324602976392713 0 0.0500417292784913 0.0500417292784913 0.0500417292784913 0.120966368544298 0.0500417292784913 0.0500417292784913 0.0679007705795309 0.0500417292784913 0.0679007705795309 0.0500417292784913 0.0679007705795309 0.0679007705795309 0.0679007705795309 0 0 0.142056534761906 0.0669567333827471 0.0664410498999446 0.101851155869296
"R000672" 0 0.0105267045989162 0.0375326128682437 0.0158743491572901 0.0104920034508934 0.0158743491572901 0.0322692605687856 0.0266224345600042 0.0487690407942729 0.0158743491572901 0.0429919576721584 0.130520262720509 0.0429919576721584 0.0487690407942729 0.0375326128682437 0 0.0374363449596229 0.0319417841718254 0.0158743491572901 0.00523564993364768 0.026543159508856 0.0104920034508934 0.149400071587611 0.0374363449596229 0 0.0158743491572901 0.0373842460801921 0.0375326128682437 0.0374363449596229 0.0105267045989162 0.0105267045989162 0.0267443424754931 0.0320076947749512 0.0158743491572901 0.0158743491572901 0.0321169953478018 0.130520262720509 0.0211875984415522 0.0158743491572901 0.143099542538586 0.0211377014567482 0.0211875984415522 0 0 0.0320076947749512 0.0541455920995139 0.0104920034508934 0.100384967266914
"R000674" 0 0 0.0120487757895303 0 0.0120487757895303 0.0120487757895303 0 0 0.0120487757895303 0 0.012012483418123 0 0.0120487757895303 0.0120487757895303 0 0 0.0242082099802026 0.012012483418123 0 0 0 0 0.0120487757895303 0.0120487757895303 0 0 0.012012483418123 0.012012483418123 0.012012483418123 0 0 0 0.024395082084716 0 0 0 0.0120487757895303 0 0 0 0 0 0 0 0.0242082099802026 0.0120487757895303 0.024395082084716 0.0367088610829112
"R000685" 0 0.0595922925952637 0.0418913290698058 0.0599504472339197 0.0250052102873307 0.016530431130444 0.0250052102873307 0.0250052102873307 0.0418913290698058 0.016530431130444 0.0333955345769455 0.0423982683300385 0.0506634838952605 0.0418913290698058 0.016530431130444 0.016530431130444 0.0248483178972955 0.0333955345769455 0.0333955345769455 0.016530431130444 0.0509411944825806 0.0250052102873307 0.0250052102873307 0.0680418762036807 0.016530431130444 0.016530431130444 0.0333955345769455 0.0333955345769455 0.274447204566527 0.016530431130444 0.0250052102873307 0.0418913290698058 0.0952356824099173 0.0418913290698058 0.0686834521368589 0.0504955586326264 0.0418913290698058 0.0336261135045837 0.016530431130444 0.068354599933666 0.0250052102873307 0.016530431130444 0.00819690488783819 0.00819690488783819 0.0418913290698058 0.0248483178972955 0.0333955345769455 0.156605487861873
"R000701" 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"R000706" 0 0.00341298253519994 0.017218689348955 0 0 0 0.00684942217908096 0.00341298253519994 0.017218689348955 0 0.00341298253519994 0.00341298253519994 0.0207001153356995 0.017218689348955 0.00341298253519994 0.00341298253519994 0.00341298253519994 0.0137552670571302 0.0103096436013679 0.00341298253519994 0.00341298253519994 0 0.00683474135119452 0.0207274756782783 0 0.00341007042840708 0.0102830308807247 0.0207001153356995 0.0102741332686214 0.00341007042840708 0.00683474135119452 0.00341298253519994 0.0456018758784132 0.00341298253519994 0 0 0 0 0.0102830308807247 0.00341298253519994 0.0102830308807247 0.00683474135119452 0 0 0.0137552670571302 0.0207274756782783 0.024199753718445 0.060363095511574
"R000707" 0 0.00238663937632883 0.00961568096394382 0.00238663937632883 0.00238663937632883 0.00238663937632883 0.00478472550807534 0.00238663937632883 0.00961568096394382 0.00238663937632883 0.00961568096394382 0.00718141521152227 0.0341836031898769 0.00961568096394382 0.00238663937632883 0.00238663937632883 0.00718141521152227 0.00478472550807534 0.00478472550807534 0.00478472550807534 0.00477756442747071 0.00238663937632883 0.0292937157505258 0.00477756442747071 0.00238663937632883 0.00719436872604978 0.00478472550807534 0.00478472550807534 0.00478472550807534 0.00238663937632883 0.00238663937632883 0.0292937157505258 0.0365973184836665 0.00718141521152227 0.00238663937632883 0.00718141521152227 0.0545852489673044 0.00477756442747071 0.00238521536580258 0.00238663937632883 0.0543136343243539 0.00477756442747071 0 0 0.0144630973054706 0.00958673148008746 0.00477756442747071 0.0648777988712712
"R000751" 0 0.0177523080644286 0.0298280849897505 0 0.0117909989445971 0 0.00588242078979319 0.00588242078979319 0.0237764773225158 0 0.0177793092002203 0.00588242078979319 0.0237764773225158 0.0237674047235781 0.00587377012109561 0.0118348720429524 0.0177793092002203 0.0117998568112694 0.00588242078979319 0.00588242078979319 0 0.00587377012109561 0.0117998568112694 0 0.00587377012109561 0.0117998568112694 0.0117998568112694 0.0117998568112694 0.0177523080644286 0.0117998568112694 0.0117998568112694 0.029837380225014 0.0177793092002203 0.0237674047235781 0.0237674047235781 0.0359350167719231 0.0237674047235781 0.0117998568112694 0.0177523080644286 0.0237674047235781 0.0237764773225158 0.0177523080644286 0 0 0.0298280849897505 0.0117998568112694 0.141144165981822 0.0999545552005342
"R000761" 0 0.0036363796645399 0.0260281809780266 0.00729939971057632 0.00729939971057632 0.00729939971057632 0.00729939971057632 0.0109894533593876 0.0260281809780266 0.00729939971057632 0.0109592122509945 0.00729939971057632 0.0222258812854169 0.0222258812854169 0.0184522784677255 0.00729939971057632 0.0147069426031467 0.00729939971057632 0.0109894533593876 0.0036363796645399 0.0109894533593876 0.00729939971057632 0.0109894533593876 0.0372811286885 0.0036363796645399 0.00729939971057632 0.0109894533593876 0.0109894533593876 0.0146629328899254 0.0109894533593876 0.0109894533593876 0.0036363796645399 0.0222258812854169 0.0036363796645399 0.0147069426031467 0.00729939971057632 0.0036363796645399 0.0109894533593876 0.00729939971057632 0.0036363796645399 0.0184522784677255 0.0036363796645399 0.0036363796645399 0.00729939971057632 0.0296181434493866 0.0221537096977339 0.0184522784677255 0.0373703402530545
